disease_id,disease_key,disease_name,category,training_records,dataset_top_symptoms,self_care_level,safe_self_care_draft,avoid_or_caution,when_to_seek_medical_care,general_emergency_warning_signs,medlineplus_lookup_url,nhs_lookup_url,review_status,validation_note
1,actinic_keratosis,Actinic Keratosis,Skin / dermatologic,808,"symptoms of the face (66%); irregular appearing scalp (52%); skin dryness, peeling, scaliness, or roughness (52%); skin moles (52%); itching of skin (52%); skin rash (51%); skin growth (50%); abnormal appearing skin (50%)",Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=actinic+keratosis,https://www.nhs.uk/search/results/?q=actinic+keratosis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
2,acute_bronchiolitis,Acute Bronchiolitis,Respiratory / ENT,1204,fever (52%); nasal congestion (52%); wheezing (52%); vomiting (52%); hurts to breath (51%); cough (51%); decreased appetite (51%); difficulty breathing (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+bronchiolitis,https://www.nhs.uk/search/results/?q=acute+bronchiolitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
3,acute_bronchitis,Acute Bronchitis,Respiratory / ENT,1213,nasal congestion (52%); fever (52%); coryza (52%); cough (52%); headache (52%); sore throat (51%); sharp chest pain (50%); congestion in chest (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+bronchitis,https://www.nhs.uk/search/results/?q=acute+bronchitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
4,acute_bronchospasm,Acute Bronchospasm,Respiratory / ENT,812,vomiting (65%); cough (53%); difficulty breathing (53%); sore throat (52%); wheezing (51%); nasal congestion (51%); sharp chest pain (51%); chest tightness (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+bronchospasm,https://www.nhs.uk/search/results/?q=acute+bronchospasm,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
5,acute_kidney_injury,Acute Kidney Injury,Systemic / metabolic,808,retention of urine (64%); vomiting (53%); weakness (53%); nausea (51%); sharp abdominal pain (51%); kidney mass (51%); peripheral edema (50%); sharp chest pain (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Do not force fluids or change salt intake without professional advice.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+kidney+injury,https://www.nhs.uk/search/results/?q=acute+kidney+injury,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
6,acute_pancreatitis,Acute Pancreatitis,Digestive / hepatobiliary,1207,burning abdominal pain (53%); nausea (52%); vomiting (51%); abusing alcohol (51%); hemoptysis (51%); diarrhea (51%); upper abdominal pain (50%); back pain (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+pancreatitis,https://www.nhs.uk/search/results/?q=acute+pancreatitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
7,acute_sinusitis,Acute Sinusitis,Respiratory / ENT,828,sore throat (63%); coryza (54%); sinus congestion (54%); ear pain (52%); frontal headache (52%); cough (50%); coughing up sputum (50%); facial pain (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=acute+sinusitis,https://www.nhs.uk/search/results/?q=acute+sinusitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
8,allergy,Allergy,Respiratory / ENT,803,fluid retention (63%); peripheral edema (53%); allergic reaction (52%); skin swelling (52%); itching of skin (51%); itchiness of eye (51%); skin rash (50%); abnormal appearing skin (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=allergy,https://www.nhs.uk/search/results/?q=allergy,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
9,angina,Angina,Cardiovascular,826,hot flashes (65%); palpitations (53%); sharp chest pain (52%); lower body pain (51%); arm pain (51%); chest tightness (51%); irregular heartbeat (50%); increased heart rate (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=angina,https://www.nhs.uk/search/results/?q=angina,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
10,anxiety,Anxiety,Mental and behavioral health,1198,sharp chest pain (53%); depressive or psychotic symptoms (52%); insomnia (52%); depression (51%); abnormal involuntary movements (51%); headache (51%); irregular heartbeat (51%); fears and phobias (51%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=anxiety,https://www.nhs.uk/search/results/?q=anxiety,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
